optimizer_step,all_rank_mean_fm_loss
1,0.493
2,0.562
3,0.6348
4,0.4467
5,0.7651
6,0.9611
7,0.4748
8,0.581
9,0.4762
10,0.4595
11,0.422
12,0.5662
13,0.6163
14,0.7013
15,0.4666
16,0.3143
17,0.3976
18,0.4264
19,0.5979
20,0.3431
21,0.4165
22,0.3627
23,0.3645
24,0.3365
25,0.4097
26,0.2315
27,0.436
28,0.382
29,0.4135
30,0.3366
31,0.2555
32,0.3116
33,0.428
34,0.3539
35,0.2243
36,0.4225
37,0.3138
38,0.2009
39,0.3058
40,0.2393
41,0.2432
42,0.7412
43,0.3471
44,0.2664
45,0.2295
46,0.29
47,0.1555
48,0.2965
49,0.329
50,0.27
